Ancestor?,Scan date,Nr,Name,Temp Evo,Gender,Nickname,Level,possibleLevels,CP,HP,Dust cost,min IV%,ØIV%,max IV%,ØATT IV,ØDEF IV,ØHP IV,Unique?,Fast move,Fast move (ID),Special move,Special move (ID),Special move 2,Special move 2 (ID),DPS,LL Rank (min),LL Rank (max),GL Evo,GL Rank (min),GL Rank (max),Box,Custom1,Custom2,Saved,Egg,Lucky?,Favorite,BuddyBoosted,Form,ShadowForm,MultiForm?,Dynamax,Height (cm),Weight (g),Height Tag,Catch Date,Catch Level
0,9/18/26 22:27:26,280,Ralts,-,♂,UL 191,9.0,9.0,122,44,1000,73.3,73.3,73.3,6.0,15.0,12.0,1, - , - , - , - , - , - ,0.0,220,220,Ralts,335,335,Ultra League,,,0,0,0,0,0,687,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:27:25,653,Fennekin,-,♂,LL 118,6.0,6.0,140,43,600,33.3,33.3,33.3,0.0,0.0,15.0,1, - , - , - , - , - , - ,0.0,354,354,Delphox,32,32,Little League,,,0,0,0,0,0,2349,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:27:24,650,Chespin,-,♂,Che♂62,26.0,26.0,739,111,4000,62.2,62.2,62.2,9.0,4.0,15.0,1, - , - , - , - , - , - ,0.0, - , - ,Chespin,1421,1421,Default,,,0,0,0,0,0,2346,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:27:22,656,Froakie,-,♂,LL 138,18.0,18.0,437,77,2200,48.9,48.9,48.9,1.0,6.0,15.0,1, - , - , - , - , - , - ,0.0,138,138,Greninja,109,109,Little League,,,0,0,0,0,0,2352,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:27:21,92,Gastly,-,♂,LL 117,15.0,15.0,490,60,1900,68.9,68.9,68.9,1.0,15.0,15.0,1, - , - , - , - , - , - ,0.0,117,117,Haunter,66,66,Little League,,,0,0,0,0,0,2025,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:27:20,172,Pichu,-,♂,Pic♂76,20.0,20.0,247,57,2500,75.6,75.6,75.6,10.0,13.0,11.0,1, - , - , - , - , - , - ,0.0,271,271,Pichu,301,301,Default,,,0,0,0,0,0,2051,1,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:27:19,924,Tandemaus,-,,GL 118,15.0,15.0,368,76,1900,82.2,82.2,82.2,14.0,13.0,10.0,1, - , - , - , - , - , - ,0.0,3309,3309,Tandemaus,118,118,Great League,,,0,0,0,0,0,2700,1,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:27:18,653,Fennekin,-,♂,GL 48,12.0,12.0,342,60,1300,86.7,86.7,86.7,13.0,15.0,11.0,1, - , - , - , - , - , - ,0.0,1052,1052,Fennekin,48,48,Great League,,,0,0,0,0,0,2349,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:27:17,228,Houndour,-,♂,Hou♂62,6.0,6.0,184,45,600,62.2,62.2,62.2,5.0,8.0,15.0,1, - , - , - , - , - , - ,0.0,397,397,Houndour,1030,1030,Default,,,0,0,0,0,0,681,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:27:16,653,Fennekin,-,♀,GL 146,15.0,15.0,417,67,1900,80.0,80.0,80.0,10.0,15.0,11.0,1, - , - , - , - , - , - ,0.0,2325,2325,Fennekin,146,146,Great League,,,0,0,0,0,0,2349,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:27:15,25,Pikachu,-,♀,LL 151,2.0,2.0,38,20,200,73.3,73.3,73.3,8.0,13.0,12.0,1, - , - , - , - , - , - ,0.0,875,875,Pikachu,367,367,Little League,,,0,0,0,0,0,1242,1,1,?,?,?,0,2026-?-?,?
0,9/18/26 22:27:14,656,Froakie,-,♂,GL 69,15.0,15.0,410,69,1900,86.7,86.7,86.7,12.0,13.0,14.0,1, - , - , - , - , - , - ,0.0,1867,1867,Froakie,69,69,Great League,,,0,0,0,0,0,2352,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:27:13,179,Mareep,-,♂,LL 118,14.0,14.0,358,78,1600,66.7,66.7,66.7,5.0,13.0,12.0,1, - , - , - , - , - , - ,0.0,118,118,Ampharos,34,34,Little League,,,0,0,0,0,0,963,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:27:12,95,Onix Shadow,-,♀,Oni♀62,8.0,8.0,223,45,960,62.2,62.2,62.2,8.0,11.0,9.0,1, - , - , - , - , - , - ,0.0,1327,1327,Onix,1354,1354,Default,,,0,0,0,0,0,1065,2,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:27:11,829,Gossifleur,-,♀,LL 56,4.0,4.0,61,33,400,64.4,64.4,64.4,6.0,12.0,11.0,1, - , - , - , - , - , - ,0.0,1461,1461,Gossifleur,1091,1091,Little League,,,0,0,0,0,0,2504,1,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:27:07,4,Charmander,-,♂,Cha♂69,22.0,22.0,561,82,3000,68.9,68.9,68.9,6.0,12.0,13.0,1, - , - , - , - , - , - ,0.0, - , - ,Charmander,533,533,Default,,,0,0,0,0,0,590,1,0, - ,73,11540,0,2026-?-?,?
0,9/18/26 22:27:06,938,Tadbulb,-,♀,Tad♀80,26.0,26.0,629,115,4000,80.0,80.0,80.0,7.0,15.0,14.0,1, - , - , - , - , - , - ,0.0, - , - ,Tadbulb,209,209,Default,,,0,0,0,0,0,2712,1,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:27:05,21,Spearow,-,♀,Spe♀76,22.0,22.0,462,84,3000,75.6,75.6,75.6,11.0,8.0,15.0,1, - , - , - , - , - , - ,0.0,2177,2177,Spearow,570,570,Default,,,0,0,0,0,0,2009,1,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:27:04,399,Bidoof,-,♀,LL 40,6.0,6.0,102,53,600,71.1,71.1,71.1,2.0,15.0,15.0,1, - , - , - , - , - , - ,0.0,40,40,Bibarel,43,43,Little League,,,0,0,0,0,0,1573,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:27:03,100,Voltorb Shadow,-,,Vol78,8.0,8.0,211,49,960,77.8,77.8,77.8,7.0,15.0,13.0,1, - , - , - , - , - , - ,0.0,506,506,Voltorb,295,295,Default,,,0,0,0,0,0,1723,2,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:27:02,56,Mankey,-,♀,Man♀49,25.0,25.0,727,90,4000,48.9,48.9,48.9,6.0,1.0,15.0,1, - , - , - , - , - , - ,0.0, - , - ,Primeape,1309,1309,Default,,,0,0,0,0,0,2017,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:27:01,179,Mareep,-,♂,Mar♂51,25.0,25.0,627,103,4000,51.1,51.1,51.1,10.0,4.0,9.0,1, - , - , - , - , - , - ,0.0, - , - ,Mareep,2202,2202,Default,,,0,0,0,0,0,963,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:27:00,656,Froakie,-,♀,GL 174,15.0,15.0,409,68,1900,82.2,82.2,82.2,14.0,12.0,11.0,1, - , - , - , - , - , - ,0.0,3082,3082,Froakie,174,174,Great League,,,0,0,0,0,0,2352,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:59,529,Drilbur,-,♀,Dri♀62,12.0,12.0,428,78,1300,62.2,62.2,62.2,5.0,8.0,15.0,1, - , - , - , - , - , - ,0.0,262,262,Excadrill,986,986,Default,,,0,0,0,0,0,2249,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:58,653,Fennekin,-,♂,GL 24,15.0,15.0,401,69,1900,71.1,71.1,71.1,5.0,12.0,15.0,1, - , - , - , - , - , - ,0.0,351,351,Delphox,24,24,Great League,,,0,0,0,0,0,2349,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:57,656,Froakie,-,♀,Fro♀80,24.0,24.0,649,89,3500,80.0,80.0,80.0,15.0,6.0,15.0,1, - , - , - , - , - , - ,0.0, - , - ,Froakie,339,339,Default,,,0,0,0,0,0,2352,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:55,96,Drowzee Shadow,-,♂,Dro♂69,13.0,13.0,359,81,1920,68.9,68.9,68.9,11.0,5.0,15.0,1, - , - , - , - , - , - ,0.0,2091,2091,Drowzee,729,729,Default,,,0,0,0,0,0,655,2,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:54,142,Aerodactyl,-,♂,TRAer♂69,34.0,34.0,2415,153,7000,68.9,68.9,68.9,6.0,12.0,13.0,1, - , - , - , - , - , - ,0.0, - , - , - , - , - ,Default,,,0,0,0,0,0,1338,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:53,653,Fennekin,-,♂,TRFen♂51,30.0,30.0,796,94,5000,51.1,51.1,51.1,13.0,1.0,9.0,1, - , - , - , - , - , - ,0.0, - , - ,Fennekin,2124,2124,Default,,,0,0,0,0,0,2349,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:52,656,Froakie,-,♂,Fro♂73,15.0,15.0,396,69,1900,73.3,73.3,73.3,10.0,10.0,13.0,1, - , - , - , - , - , - ,0.0,2921,2921,Froakie,459,459,Default,,,0,0,0,0,0,2352,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:51,955,Flittle,-,♂,GL 164,20.0,20.0,376,68,2500,80.0,80.0,80.0,10.0,14.0,12.0,1, - , - , - , - , - , - ,0.0,687,687,Flittle,164,164,Great League,,,0,0,0,0,0,2729,1,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:50,333,Swablu,-,♀,Swa♀80,24.0,24.0,518,93,3500,80.0,80.0,80.0,8.0,13.0,15.0,1, - , - , - , - , - , - ,0.0, - , - ,Swablu,326,326,Default,,,0,0,0,0,0,2128,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:49,276,Taillow Shadow,-,♀,Tai♀76,13.0,13.0,262,65,1920,75.6,75.6,75.6,13.0,6.0,15.0,1, - , - , - , - , - , - ,0.0,2847,2847,Taillow,709,709,Default,,,0,0,0,0,0,2096,2,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:47,48,Venonat Shadow,-,♂,Ven♂67,8.0,8.0,209,63,960,66.7,66.7,66.7,12.0,4.0,14.0,1, - , - , - , - , - , - ,0.0,3392,3392,Venonat,937,937,Default,,,0,0,0,0,0,708,2,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:47,334,Altaria,-,♀,UL 165,25.0,25.0,1387,130,4000,82.2,82.2,82.2,12.0,11.0,14.0,1, - , - , - , - , - , - ,0.0, - , - ,Altaria,1418,1418,Ultra League,,,0,0,0,0,0,2129,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:45,653,Fennekin,-,♂,GL 111,16.0,16.0,452,72,1900,84.4,84.4,84.4,13.0,10.0,15.0,1, - , - , - , - , - , - ,0.0,1941,1941,Fennekin,111,111,Great League,,,0,0,0,0,0,2349,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:44,27,Sandshrew Alolan Shadow,-,♂,San♂76,8.0,8.0,278,53,960,75.6,75.6,75.6,13.0,15.0,6.0,1, - , - , - , - , - , - ,0.0,2176,2176,Sandshrew Alolan,272,272,Default,,,0,0,0,0,0,403,2,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:43,656,Froakie,-,♂,GL 92,15.0,15.0,414,68,1900,86.7,86.7,86.7,15.0,12.0,12.0,1, - , - , - , - , - , - ,0.0,1962,1962,Froakie,92,92,Great League,,,0,0,0,0,0,2352,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:42,653,Fennekin,-,♂,GL 152,22.0,22.0,617,84,3000,82.2,82.2,82.2,12.0,10.0,15.0,1, - , - , - , - , - , - ,0.0, - , - ,Fennekin,152,152,Great League,,,0,0,0,0,0,2349,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:41,434,Stunky,-,♀,Stu♀76,15.0,15.0,464,88,1900,75.6,75.6,75.6,10.0,12.0,12.0,1, - , - , - , - , - , - ,0.0,1497,1497,Stunky,344,344,Default,,,0,0,0,0,0,1315,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:39,434,Stunky,-,♂,Stu♂78,15.0,15.0,468,88,1900,77.8,77.8,77.8,11.0,12.0,12.0,1, - , - , - , - , - , - ,0.0,1116,1116,Stunky,270,270,Default,,,0,0,0,0,0,1315,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:39,996,Frigibax,-,♂,GL 59,2.0,2.0,54,29,200,91.1,91.1,91.1,15.0,11.0,15.0,1, - , - , - , - , - , - ,0.0,3250,3250,Frigibax,59,59,Great League,,,0,0,0,0,0,2767,1,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:37,529,Drilbur,-,♀,GL 69,15.0,15.0,572,87,950,86.7,86.7,86.7,13.0,12.0,14.0,1, - , - , - , - , - , - ,0.0, - , - ,Drilbur,69,69,Great League,,,0,1,1,0,0,2249,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:37,142,Aerodactyl,-,♂,Aer♂☘89,27.0,27.0,2115,140,2250,88.9,88.9,88.9,14.0,13.0,13.0,1, - , - , - , - , - , - ,0.0, - , - , - , - , - ,Default,,,0,1,1,0,0,1338,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:35,66,Machop,-,♀,GL 69,24.0,24.0,851,122,1750,88.9,88.9,88.9,13.0,12.0,15.0,1, - , - , - , - , - , - ,0.0, - , - ,Machop,69,69,Great League,,,0,1,1,0,0,1294,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:34,656,Froakie,-,♀,GL 174,15.0,15.0,408,67,1900,80.0,80.0,80.0,14.0,12.0,10.0,1, - , - , - , - , - , - ,0.0,3082,3082,Froakie,174,174,Great League,,,0,0,0,0,0,2352,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:33,656,Froakie,-,♂,UL 164,15.0,15.0,410,68,1900,82.2,82.2,82.2,15.0,10.0,12.0,1, - , - , - , - , - , - ,0.0,3100,3100,Froakie,205,205,Ultra League,,,0,0,0,0,0,2352,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:32,211,Qwilfish Shadow,-,♀,UL 27,13.0,13.0,749,85,1920,91.1,91.1,91.1,13.0,13.0,15.0,1, - , - , - , - , - , - ,0.0, - , - ,Qwilfish,619,619,Ultra League,,,0,0,0,0,0,1974,2,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:31,137,Porygon Shadow,-,,Por73,8.0,8.0,371,63,960,73.3,73.3,73.3,13.0,13.0,7.0,1, - , - , - , - , - , - ,0.0,1678,1678,Porygon-Z,1078,1078,Default,,,0,0,0,0,0,1092,2,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:30,206,Dunsparce,-,♂,UL 11,15.0,15.0,718,124,1900,95.6,95.6,95.6,15.0,13.0,15.0,1, - , - , - , - , - , - ,0.0, - , - ,Dunsparce,2391,2391,Ultra League,,,0,0,0,0,0,2066,1,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:29,634,Zweilous,-,♂,UL 81,15.0,15.0,770,96,1900,84.4,84.4,84.4,14.0,13.0,11.0,1, - , - , - , - , - , - ,0.0, - , - ,Zweilous,2797,2797,Ultra League,,,0,0,0,0,0,2337,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:27,1,Bulbasaur,-,♂,Bul♂69,13.0,13.0,378,68,1600,68.9,68.9,68.9,6.0,11.0,14.0,1, - , - , - , - , - , - ,0.0,471,471,Bulbasaur,613,613,Default,,,0,0,0,0,0,581,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:26,22,Fearow,-,♀,GL 5,15.0,15.0,786,91,1900,62.2,62.2,62.2,0.0,15.0,13.0,1, - , - , - , - , - , - ,0.0, - , - ,Fearow,5,5,Great League,,,0,0,0,0,0,2010,1,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:24,95,Onix Shadow,-,♂,Oni♂18,8.0,8.0,200,44,960,17.8,17.8,17.8,1.0,0.0,7.0,1, - , - , - , - , - , - ,0.0,803,803,Steelix,1818,1818,Default,,,0,0,0,0,0,1065,2,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:23,714,Noibat Shadow,-,♀,Noi♀51,8.0,8.0,131,47,960,51.1,51.1,51.1,11.0,5.0,7.0,1, - , - , - , - , - , - ,0.0,3050,3050,Noibat,1986,1986,Default,,,0,0,0,0,0,2398,2,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:22,276,Taillow Shadow,-,♂,GL 132,13.0,13.0,269,65,1920,84.4,84.4,84.4,11.0,12.0,15.0,1, - , - , - , - , - , - ,0.0,1035,1035,Taillow,132,132,Great League,,,0,0,0,0,0,2096,2,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:18,202,Wobbuffet,-,♂,GL 72,25.0,25.0,719,259,4000,77.8,77.8,77.8,15.0,13.0,7.0,1, - , - , - , - , - , - ,0.0, - , - ,Wobbuffet,72,72,Great League,,,0,0,0,0,0,1101,7,0,?,?,?,0,2024-02-27,?
0,9/18/26 22:26:17,302,Sableye,-,♀,UL 92,15.0,15.0,612,77,950,84.4,84.4,84.4,12.0,14.0,12.0,1, - , - , - , - , - , - ,0.0, - , - ,Sableye,1078,1078,Ultra League,,,0,1,1,0,0,981,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:16,363,Spheal Shadow,-,♂,Sph♂58,8.0,8.0,192,68,960,57.8,57.8,57.8,7.0,8.0,11.0,1, - , - , - , - , - , - ,0.0,1045,1045,Walrein,745,745,Default,,,0,0,0,0,0,1504,2,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:15,942,Maschiff,-,♂,GL 59,15.0,15.0,584,87,1900,91.1,91.1,91.1,11.0,15.0,15.0,1, - , - , - , - , - , - ,0.0, - , - ,Maschiff,59,59,Great League,,,0,0,0,0,0,2716,1,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:14,443,Gible,-,♂,TRGib♂56,30.0,30.0,864,113,5000,55.6,55.6,55.6,7.0,14.0,4.0,1, - , - , - , - , - , - ,0.0, - , - ,Gabite,801,801,Default,,,0,0,0,0,0,1125,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:13,443,Gible,-,♂,Gib♂51,22.0,22.0,635,97,3000,51.1,51.1,51.1,13.0,6.0,4.0,1, - , - , - , - , - , - ,0.0, - , - ,Gabite,3722,3722,Default,,,0,0,0,0,0,1125,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:12,443,Gible,-,♂,TRGib♂38,35.0,35.0,891,118,8000,37.8,37.8,37.8,4.0,9.0,4.0,1, - , - , - , - , - , - ,0.0, - , - , - , - , - ,Default,,,0,0,0,0,0,1125,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:10,443,Gible,-,♂,TRGib♂64,30.0,30.0,867,121,5000,64.4,64.4,64.4,10.0,4.0,15.0,1, - , - , - , - , - , - ,0.0, - , - , - , - , - ,Default,,,0,0,0,0,0,1125,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:09,443,Gible,-,♂,Gib♂71,28.0,28.0,830,115,4500,71.1,71.1,71.1,11.0,9.0,12.0,1, - , - , - , - , - , - ,0.0, - , - ,Gabite,1410,1410,Default,,,0,0,0,0,0,1125,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:05,443,Gible,-,♂,Gib♂78,27.0,27.0,804,113,4500,77.8,77.8,77.8,7.0,15.0,13.0,1, - , - , - , - , - , - ,0.0, - , - ,Gabite,1612,1612,Default,,,0,0,0,0,0,1125,1,0, - ,64,15970,0,2026-?-?,?
0,9/18/26 22:26:04,127,Pinsir Shadow,-,♂,Pin♂24,8.0,8.0,596,63,960,24.4,24.4,24.4,1.0,3.0,7.0,1, - , - , - , - , - , - ,0.0, - , - ,Pinsir,1828,1828,Default,,,0,0,0,0,0,1199,2,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:03,443,Gible,-,♂,UL 97,34.0,34.0,991,121,7000,84.4,84.4,84.4,15.0,13.0,10.0,1, - , - , - , - , - , - ,0.0, - , - , - , - , - ,Ultra League,,,0,0,0,0,0,1125,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:02,443,Gible,-,♂,Gib♂69,28.0,28.0,816,117,4500,68.9,68.9,68.9,9.0,7.0,15.0,1, - , - , - , - , - , - ,0.0, - , - ,Gabite,2226,2226,Default,,,0,0,0,0,0,1125,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:01,443,Gible,-,♀,UL 167,10.0,10.0,304,69,1000,82.2,82.2,82.2,12.0,12.0,13.0,1, - , - , - , - , - , - ,0.0,3035,3035,Garchomp,539,539,Ultra League,,,0,0,0,0,0,1125,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:26:00,443,Gible,-,♂,TRGib♂60,35.0,35.0,948,118,8000,60.0,60.0,60.0,8.0,15.0,4.0,1, - , - , - , - , - , - ,0.0, - , - , - , - , - ,Default,,,0,0,0,0,0,1125,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:25:59,443,Gible,-,♂,TRGib♂49,33.0,33.0,902,116,7000,48.9,48.9,48.9,13.0,4.0,5.0,1, - , - , - , - , - , - ,0.0, - , - , - , - , - ,Default,,,0,0,0,0,0,1125,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:25:58,443,Gible,-,♀,TRGib♀51,33.0,33.0,888,119,7000,51.1,51.1,51.1,7.0,7.0,9.0,1, - , - , - , - , - , - ,0.0, - , - , - , - , - ,Default,,,0,0,0,0,0,1125,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:25:57,443,Gible,-,♂,TRGib♂80,33.0,33.0,958,122,7000,80.0,80.0,80.0,14.0,9.0,13.0,1, - , - , - , - , - , - ,0.0, - , - , - , - , - ,Default,,,0,0,0,0,0,1125,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:25:56,443,Gible,-,♀,TRGib♀67,35.0,35.0,952,124,8000,66.7,66.7,66.7,12.0,5.0,13.0,1, - , - , - , - , - , - ,0.0, - , - , - , - , - ,Default,,,0,0,0,0,0,1125,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:25:54,443,Gible,-,♂,TRGib♂73,33.0,33.0,934,121,7000,73.3,73.3,73.3,8.0,14.0,11.0,1, - , - , - , - , - , - ,0.0, - , - , - , - , - ,Default,,,0,0,0,0,0,1125,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:25:52,443,Gible,-,♀,Gib♀53,39.5,39.5,964,130,10000,53.3,53.3,53.3,4.0,5.0,15.0,1, - , - , - , - , - , - ,0.0, - , - , - , - , - ,Default,,,0,0,0,0,0,1125,7,0,?,?,?,0,2026-?-?,?
1,9/18/26 22:25:52,443,Gible,-,-,-,37.0,37.0,930,128,9000,53.3,53.3,53.3,4.0,5.0,15.0,1, - , - , - , - , - , - ,-, - , - , - , - , - ,Default,,,0,0,0,0,0,1125,7,0,?,-,-,-,2026-?-?,?
0,9/18/26 22:25:50,443,Gible,-,♀,Gib♀53,10.0,10.0,277,70,1000,53.3,53.3,53.3,4.0,5.0,15.0,1, - , - , - , - , - , - ,0.0,265,265,Gabite,739,739,Default,,,0,0,0,0,0,1125,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:25:45,280,Ralts,-,♀,GL 19,20.0,20.0,301,66,2500,91.1,91.1,91.1,15.0,14.0,12.0,1, - , - , - , - , - , - ,0.0,1590,1590,Ralts,19,19,Great League,,,0,0,0,0,0,687,1,0,D,40,6910,0,2026-?-?,?
0,9/18/26 22:25:44,318,Carvanha,-,♀,Car♀20,5.0,5.0,105,38,600,20.0,20.0,20.0,3.0,0.0,6.0,1, - , - , - , - , - , - ,0.0,3686,3686,Sharpedo,2798,2798,Default,,,0,0,0,0,0,1220,7,0,?,?,?,0,2026-?-?,?
0,9/18/26 22:25:41,532,Timburr Shadow,-,♀,Tim♀49,8.0,8.0,269,69,960,48.9,48.9,48.9,14.0,3.0,5.0,1, - , - , - , - , - , - ,0.0,3536,3536,Timburr,2382,2382,Default,,,0,0,0,0,0,2252,2,0,?,?,?,0,2026-?-?,?
